page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
140662,Richard Dunston (New Earth),\/wiki\/Richard_Dunston_(New_Earth),,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,1,"1996, August",1996
140675,Johnny Navarone (New Earth),\/wiki\/Johnny_Navarone_(New_Earth),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,4,"1996, August",1996
140700,Nicky Lincoln (New Earth),\/wiki\/Nicky_Lincoln_(New_Earth),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,4,"1996, August",1996
140725,Dob Zagil (New Earth),\/wiki\/Dob_Zagil_(New_Earth),,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,3,"1992, December",1992
140752,Eryx (New Earth),\/wiki\/Eryx_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Purple Hair,Male Characters,,Living Characters,3,"1995, July",1995
141089,Charles Grayson (New Earth),\/wiki\/Charles_Grayson_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,30,"1942, April",1942
141266,Phosphorus Rex (New Earth),\/wiki\/Phosphorus_Rex_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,4,"2007, July",2007
141268,Kushti (New Earth),\/wiki\/Kushti_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,3,"2009, August",2009
141270,Big Top (New Earth),\/wiki\/Big_Top_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,3,"2009, August",2009
141445,Lance Harrower (New Earth),\/wiki\/Lance_Harrower_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,1,"2006, January",2006
141447,Hi-Tech (New Earth),\/wiki\/Hi-Tech_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,6,"1992, October",1992
141448,Luna Nurblin (New Earth),\/wiki\/Luna_Nurblin_(New_Earth),,Bad Characters,,Blond Hair,Female Characters,,Living Characters,4,"1982, June",1982
141452,Catseye (New Earth),\/wiki\/Catseye_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,5,"1991, May",1991
141453,Schrek (New Earth),\/wiki\/Schrek_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Male Characters,,Deceased Characters,5,"1991, July",1991
141717,Joan Lincoln (New Earth),\/wiki\/Joan_Lincoln_(New_Earth),,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,19,"1983, July",1983
