Sabretooth (Victor Creed),Amber Eyes
Arides (Earth-616),Amber Eyes
Martin Sutter (Earth-616),Amber Eyes
Mercedes Wilson (Earth-616),Amber Eyes
Hit-Monkey (Earth-616),Amber Eyes
Zebadiah Creed (Earth-616),Amber Eyes
Tolos (Earth-616),Amber Eyes
Mr. Lucas (Earth-616),Amber Eyes
Angela Snow (Earth-616),Amber Eyes
Vinatos (Earth-616),Amber Eyes
Remy LeBeau (Earth-616),Black Eyeballs
Megan Gwynn (Earth-616),Black Eyeballs
Mrs. Gwynn (Earth-616),Black Eyeballs
Gabriel Lan (Earth-616),Black Eyes
Air-Walker (Automaton) (Earth-616),Black Eyes
Ariel (Coconut Grove) (Earth-616),Black Eyes
Behemoth (Atlantean Beast) (Earth-616),Black Eyes
Belasco (Earth-616),Black Eyes
Bi-Beast (Earth-616),Black Eyes
Bi-Beast (Duplicate) (Earth-616),Black Eyes
Bloodscream (Earth-616),Black Eyes
Brynocki (Earth-616),Black Eyes
Caliban (Earth-616),Black Eyes
Nathaniel Omen (Earth-616),Black Eyes
Ch'od (Earth-616),Black Eyes
Chance (Fallen Angels) (Earth-616),Black Eyes
D'Spayre (Earth-616),Black Eyes
Earthquake (Earth-616),Black Eyes
Eternity (Earth-616),Black Eyes
Quelin (Earth-616),Black Eyes
Model X3Z (Earth-616),Black Eyes
Orka (Earth-616),Black Eyes
Grom (Earth-616),Black Eyes
Farouk Al-Fasaud (Earth-616),Black Eyes
Stephanie Hunter (Earth-616),Black Eyes
In-Betweener (Earth-616),Black Eyes
Haroun ibn Sallah al-Rashid (Earth-616),Black Eyes
Karkas (Earth-616),Black Eyes
Warlock (Technarch) (Earth-616),Black Eyes
Jerome Beechman (Earth-616),Black Eyes
Marrina Smallwood (Earth-616),Black Eyes
Necrodamus (Earth-616),Black Eyes
Nekra Sinclair (Earth-616),Black Eyes
Nergal,Black Eyes
Nightmare (Earth-616),Black Eyes
Edgar Plunder (Earth-616),Black Eyes
Kamo Tharnn (Earth-616),Black Eyes
Marshall Stone III (Earth-616),Black Eyes
Mortimer Toynbee (Earth-616),Black Eyes
Tyrak (Earth-616),Black Eyes
Scarlet Beetle (Earth-616),Black Eyes
Sikorsky (Earth-616),Black Eyes
Space Phantom (Earth-616),Black Eyes
Shiro Yoshida (Earth-616),Black Eyes
Locksmith (Earth-616),Black Eyes
Manuel Eloganto (Earth-616),Black Eyes
Molyb (Earth-616),Black Eyes
Null the Living Darkness (Earth-616),Black Eyes
Yagzan (Earth-616),Black Eyes
Robert Paine (Earth-616),Black Eyes
Dark Rider (Earth-616),Black Eyes
Gayle Edgerton (Earth-616),Black Eyes
Jack Tarr (Earth-616),Black Eyes
Cort Zo Tinnus (Earth-616),Black Eyes
Super-Adaptoid (Earth-616),Black Eyes
Asylum (Psionex) (Earth-616),Black Eyes
Claire Voyant (Earth-616),Black Eyes
Anne Marie Cortez (Earth-616),Black Eyes
Johnny Wakely (Earth-616),Black Eyes
Lurking Unknown (Earth-616),Black Eyes
Nox (Nyx) (Earth-616),Black Eyes
Dinah Soar (Earth-616),Black Eyes
Ichabod Rasputin (Earth-616),Black Eyes
Ameiko Sabuki (Earth-616),Black Eyes
Origin (Earth-616),Black Eyes
Edward Brock (Earth-616),Black Eyes
Igor (Earth-616),Black Eyes
Miklho (Earth-616),Black Eyes
Peotor (Earth-616),Black Eyes
Nu-An (Earth-616),Black Eyes
Maria Trovaya (Earth-616),Black Eyes
Bloodhawk (Avengers) (Earth-616),Black Eyes
Adrian Lynn (Earth-616),Black Eyes
Cherub Whirlwind (Earth-616),Black Eyes
O.Z. Chase (Earth-616),Black Eyes
Sphinxor (Earth-616),Black Eyes
Typhon (Earth-616),Black Eyes
Zemu (Earth-616),Black Eyes
Torg the Abominable Snow-King (Earth-616),Black Eyes
Cornell Cottonmouth (Earth-616),Black Eyes
Wildrun (Earth-616),Black Eyes
Top Man (Earth-616),Black Eyes
Ennis Tremellyn (Earth-616),Black Eyes
Galactus' Cat (Earth-616),Black Eyes
He Who Remains (Earth-616),Black Eyes
"Gary Wilton, Jr. (Earth-616)",Black Eyes
Grottu (Earth-616),Black Eyes
Zabyk (Earth-616),Black Eyes
Occulus (Earth-616),Black Eyes
Anais (Earth-616),Black Eyes
Cosmo (Earth-616),Black Eyes
Mzungu (Earth-616),Black Eyes
Nick Shelley (Earth-616),Black Eyes
Gosamyr (Earth-616),Black Eyes
Hardball (Imperial Guard) (Earth-616),Black Eyes
Hisako Ichiki (Earth-616),Black Eyes
Zoe Ishihara (Earth-616),Black Eyes
Silver Death (Earth-616),Black Eyes
Zharkah (Earth-616),Black Eyes
Yukotujakzurjimozoata (Earth-616),Black Eyes
Webwing (Earth-616),Black Eyes
Leong Coy Manh (Earth-616),Black Eyes
Nga Coy Manh (Earth-616),Black Eyes
Bernie Lachenay (Earth-616),Black Eyes
Aldo Ferro (Earth-616),Black Eyes
Revenant (Earth-616),Black Eyes
Monkey Joe (Earth-616),Black Eyes
Erlik Khan (Earth-616),Black Eyes
Francesca Grace (Earth-616),Black Eyes
Hector Ridondo (Earth-616),Black Eyes
