page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
278365,Thunderclaw (Earth-616),\/Thunderclaw_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,3-May,2003
278539,Ti Asha Ra (Earth-616),\/Ti_Asha_Ra_(Earth-616),No Dual Identity,Good Characters,,No Hair,Female Characters,,Deceased Characters,5,9-Oct,2009
278630,Galin (Earth-616),\/Galin_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Deceased Characters,4,9-Nov,2009
278827,Red Hargrove (Earth-616),\/Red_Hargrove_(Earth-616),Public Identity,Good Characters,,Red Hair,Male Characters,,Deceased Characters,9,May-64,1964
278871,Rana Philips (Earth-616),\/Rana_Philips_(Earth-616),Secret Identity,Bad Characters,Yellow Eyeballs,Green Hair,Female Characters,,Deceased Characters,4,9-Oct,2009
278873,Morass (Earth-616),\/Morass_(Earth-616),Secret Identity,Bad Characters,White Eyes,Brown Hair,Female Characters,,Deceased Characters,3,9-Oct,2009
278877,Erin Cicero (Earth-616),\/Erin_Cicero_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Auburn Hair,Female Characters,,Deceased Characters,5,9-Oct,2009
278880,Alflyse (Earth-616),\/Alflyse_(Earth-616),No Dual Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,5,9-Oct,2009
279391,Brett Sabre (Earth-616),\/Brett_Sabre_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,9,Aug-70,1970
279394,Heart-Like-Fire (Earth-616),\/Heart-Like-Fire_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,1,6-Sep,2006
279593,Terrex (Earth-616),\/Terrex_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Nov-73,1973
279632,Hijack (Earth-616),\/Hijack_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,9-Nov,2009
279635,Input (Earth-616),\/Input_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Male Characters,,Deceased Characters,1,9-Nov,2009
279720,Roberta Rhodes (Earth-616),\/Roberta_Rhodes_(Earth-616),Public Identity,Good Characters,Black Eyes,White Hair,Female Characters,,Living Characters,6,Aug-83,1983
279915,Trace Miller (Earth-616),\/Trace_Miller_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Living Characters,2,Aug-94,1994
279930,Giraboor (Earth-616),\/Giraboor_(Earth-616),Public Identity,Good Characters,White Eyes,White Hair,Male Characters,,Living Characters,1,Oct-00,2000
279940,Neffethesk (Earth-616),\/Neffethesk_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,9,Nov-00,2000
279951,Samson (Morlock) (Earth-616),\/Samson_(Morlock)_(Earth-616),Secret Identity,,,Pink Hair,Male Characters,,Deceased Characters,1,Jun-90,1990
279954,Dzemal (Earth-616),\/Dzemal_(Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,4,4-Jun,2004
279955,Melek (Earth-616),\/Melek_(Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,5,5-Feb,2005
279956,Sarah (Tunnel Rats) (Earth-616),\/Sarah_(Tunnel_Rats)_(Earth-616),Secret Identity,,Red Eyes,Brown Hair,Female Characters,,Deceased Characters,5,5-Feb,2005
279957,Ahmed (Tunnel Rats) (Earth-616),\/Ahmed_(Tunnel_Rats)_(Earth-616),Secret Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,1,5-Mar,2005
279958,Colin (District X) (Earth-616),\/Colin_(District_X)_(Earth-616),Public Identity,,,Bald,Male Characters,,Living Characters,4,4-Jun,2004
279959,Mrs. Costanza (Earth-616),\/Mrs._Costanza_(Earth-616),,,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,1,4-Jul,2004
279960,Carrie (District X) (Earth-616),\/Carrie_(District_X)_(Earth-616),,,,Blond Hair,Female Characters,,Living Characters,2,5-Jan,2005
279961,Carol Campbell (Earth-616),\/Carol_Campbell_(Earth-616),Public Identity,,,Black Hair,Female Characters,,Living Characters,3,4-Dec,2004
279963,Ned Campbell (Earth-616),\/Ned_Campbell_(Earth-616),Public Identity,,,,Male Characters,Homosexual Characters,Deceased Characters,2,5-Jan,2005
279969,Sonny Bean (Earth-616),\/Sonny_Bean_(Earth-616),Public Identity,,,No Hair,Male Characters,,Deceased Characters,1,2-Aug,2002
279979,Pentigaar (Earth-616),\/Pentigaar_(Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,3,Dec-00,2000
279999,Kid Clayton (Earth-616),\/Kid_Clayton_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Deceased Characters,,6-Aug,2006
280040,Tom Morgan (Earth-616),\/Tom_Morgan_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,1-Oct,2001
280042,Oswald (Brotherhood) (Earth-616),\/Oswald_(Brotherhood)_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,,Deceased Characters,2,1-Jul,2001
280044,Marabeth (Earth-616),\/Marabeth_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Female Characters,,Living Characters,1,1-Sep,2001
280046,Ms. Fingers (Earth-616),\/Ms._Fingers_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Pink Hair,Female Characters,,Deceased Characters,1,2-Mar,2002
